Original Orbis Name,Original Kununu Name,Similarity Score,Orbis Name (after preprocessing),Kununu Name (after preprocessing),Orbis ID,Kununu ID,NACE Code,Employees,City,Kununu Name Translated
ti automotive holdings gmbh,ti automotive,100.0,ti,ti,18512393,571143af-4fb5-4f55-be2f-e4badd6a12e7,"M - Professional, scientific and technical activities",1524.0,HEIDELBERG,ti-automotive
blanco logistik gmbh,blanco gmbh & co kg,100.0,blanco,blanco,41220354,571fe6a9-b3ed-4be5-97c8-ddc2ef78d55f,H - Transportation and storage,207.0,OBERDERDINGEN,blanco gmbh &amp; co kg
hotel bora gmbh & co kg,bora gruppe deutschland,100.0,bora,bora,97714141,57287514-9fb2-4615-9e98-e8ced335da3f,I - Accommodation and food service activities,66.0,RADOLFZELL,bora group germany
lebenshilfe kaltenkirchen ggmbh,stadtwerke kaltenkirchen gmbh,100.0,kaltenkirchen,kaltenkirchen,7579462,573ff4e6-9e6a-442c-97e5-f137bc1d49b3,Q - Human health and social work activities,182.0,KALTENKIRCHEN,municipal utilities kaltenkirchen gmbh
fricke group gmbh & co kg,fricke gruppe,100.0,fricke,fricke,2300037,574a9431-be3c-42b4-a98c-fb16ce3b837f,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,2688.0,HEESLINGEN,fricke group
pse engineering gmbh,pse personal service gmbh,100.0,pse,pse,13642436,574f409c-33f7-4727-9a28-f1a791c35f35,"M - Professional, scientific and technical activities",159.0,QUAKENBRUECK,pse personal service gmbh
uni plus transporte gmbh & co kg,uni leipzig,100.0,uni,uni,543859992,57533117-8d0b-42a0-94b9-1f4887d18646,H - Transportation and storage,40.0,GERSTHOFEN,university of leipzig
timeflextrans internationale speditionsgesellschaft mbh & co kg,timeflextrans,100.0,timeflextrans,timeflextrans,52098490,576024db-0561-4172-8ab1-cfc3b0ae1b22,H - Transportation and storage,37.0,SCHERMBECK,timeflextrans
arbeitersamariterbund regionalverband mittelbrandenburg ev asb,asb regionalverband mittelbrandenburg ev,100.0,mittelbrandenburg,mittelbrandenburg,130903810,57667c1e-6622-4aa9-8fe5-dbea8d0ed041,Q - Human health and social work activities,1100.0,KOENIGS WUSTERHAUSEN,asb regional association central brandenburg ev
swe stadtwerke erfurt gmbh,swe service gmbh stadtwerke erfurt,100.0,swe,swe,2406168,57911b4b-7fa0-46c0-8146-fb196ae11065,"M - Professional, scientific and technical activities",1965.0,ERFURT,swe service gmbh municipal utilities erfurt
pflegedienst herzblut nrw gmbh,herzblut,100.0,herzblut,herzblut,308404136,57d74575-d260-4ccd-b356-e7c4547a1a82,Q - Human health and social work activities,34.0,ESSEN,heart and soul
k12 service gmbh,k12 agentur fr kommunikation und innovation gmbh,100.0,k12,k12,485280704,57f01e9a-fa03-4cbc-a2c2-c96aa3e96266,N - Administrative and support service activities,60.0,NORDHAUSEN,k12 agency for communication and innovation gmbh
handtmann beteiligungen gmbh,handtmann unternehmensgruppe,100.0,handtmann,handtmann,7603582,57f1e897-099a-46c7-8626-20f24e53a59e,"M - Professional, scientific and technical activities",3653.0,BIBERACH,handtmann group of companies
coi gmbh,coi consulting fr office und information management gmbh,100.0,coi,coi,2795581,57f85e85-6a7e-4674-b7c8-f48b8eef39b5,J - Information and communication,40.0,ERLANGEN,coi consulting fr office and information management gmbh
car2go group gmbh,car2go,100.0,car2go,car2go,255155028,580d3ad7-434c-4c20-9438-e20b225f7bc3,N - Administrative and support service activities,143.0,BERLIN,car2go
engelhard arzneimittel gmbh & cokg,engelhard arzneimittel,100.0,engelhard arzneimittel,engelhard arzneimittel,2626972,58179e54-9a87-4e0b-ad28-7db67d22a61a,C - Manufacturing,466.0,NIEDERDORFELDEN,engelhard pharmaceuticals
ardagh glass gmbh,ardagh group,100.0,ardagh,ardagh,2353510,581da7d0-428d-4434-8d3e-2dd76915cde9,C - Manufacturing,2271.0,NIENBURG,ardaghgroup
rle engineering & services gmbh,rle international group,100.0,rle,rle,31693222,582aca89-893a-47f6-a335-b68cfb7c3f6c,H - Transportation and storage,379.0,OVERATH,rle international group
la luna dortmund gmbh & co kg,kita luna,100.0,luna,luna,288579025,5836a210-5660-48d1-ac50-95d156d18cbe,I - Accommodation and food service activities,32.0,DORTMUND,kita luna
s&p global germany gmbh,s&p gruppe,100.0,sundp,sundp,82519008,583d3f3a-711f-45c4-a727-6f23fe798e1f,J - Information and communication,44.0,FRANKFURT,s&amp;p group
zvoove software germany gmbh,zvoove group gmbh,100.0,zvoove,zvoove,2392066,5861aa89-b9fd-4fbe-82d0-a78e084dba06,J - Information and communication,194.0,WIETMARSCHEN,zvoove group gmbh
oliver oepen gmbh,open new media gmbh,100.0,open,open,170209257,58638c06-281b-4902-b36b-d316d8d7df00,C - Manufacturing,46.0,EUSKIRCHEN,open new media gmbh
gebr horst gummiwarenfabrik gmbh & co kg,gummiwarenfabrik emil simon gmbh & co kg,100.0,gummiwarenfabrik,gummiwarenfabrik,2624479,589f7bf6-01ef-4f56-861f-ede0118b10c7,C - Manufacturing,57.0,GELNHAUSEN,rubber goods factory emil simon gmbh &amp; co kg
johann stumpf gmbh bauunternehmen,metzgerei heinrich stumpf gmbh,100.0,stumpf,stumpf,2670711,58ec8393-c1ca-4a66-902f-16848e3e5ade,F - Construction,59.0,BAD MERGENTHEIM,butcher&#39;s shop heinrich stumpf gmbh
evergreen shipping agency europe gmbh,evergreen shipping agency deutschland gmbh,100.0,evergreen shipping agency,evergreen shipping agency,2322605,58f7e1b9-4790-44d3-ac08-9edfd9352dbd,H - Transportation and storage,536.0,HAMBURG,evergreen shipping agency germany gmbh
mathias lange e k,mathias stiftung,100.0,mathias,mathias,536895899,58fb57f8-0916-4ff1-b331-be0bde0956d4,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,96.0,STUHR,mathias foundation
fmb care gmbh,fmb technik gmbh,100.0,fmb,fmb,61726145,593d40dc-0aff-4644-b372-71aae5a9f7ce,C - Manufacturing,46.0,SALZKOTTEN,fmb technology gmbh
hwk jena gmbh,hwk,100.0,hwk,hwk,375274752,593f3f65-828b-4b6e-8b56-b46b0dbbfa4a,I - Accommodation and food service activities,33.0,JENA,hwk
klenk & sohn gmbh,klenk holz ag,100.0,klenk,klenk,2602560,59577189-9fb4-4f61-a3ad-37c089e2ca3a,"M - Professional, scientific and technical activities",121.0,MODAUTAL,klenk wood ag
heller holding se & co kgaa,heller & partner communication gmbh,100.0,heller,heller,7597566,596c65f6-a457-4f25-9de6-f4fd3438136d,"M - Professional, scientific and technical activities",2436.0,NUERTINGEN,heller &amp; partner communication gmbh
skodock metallwarenfabrik gmbh,skodock,100.0,skodock,skodock,499370888,59833f08-45d7-4de2-8e28-11068b609c00,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,70.0,BRAUNSCHWEIG,skodock
codesys development gmbh,codesys group,100.0,codesys,codesys,297377803,5991c972-4735-4b15-ac6d-31526768fb4d,J - Information and communication,87.0,KEMPTEN,codesysgroup
scc events gmbh,scc industriemontagen gmbh & co kg,100.0,scc,scc,2265786,5998da15-7eb5-4a39-b109-7dc56adc4b39,"R - Arts, entertainment and recreation",80.0,BERLIN,scc industriemontagen gmbh &amp; co kg
indeed deutschland gmbh,indeed,100.0,indeed,indeed,161280494,59b0b01c-0e7d-4f3b-84f4-ac558f0acb38,N - Administrative and support service activities,277.0,DUESSELDORF,indeed
eucon gmbh,eucon group,100.0,eucon,eucon,224840456,59b66d4c-cc5e-449d-961f-c3f06d4aaab5,N - Administrative and support service activities,93.0,MUENSTER,eucongroup
bauhaus mvz gmbh,bauhaus deutschland,100.0,bauhaus,bauhaus,114016977,59c1ab4d-b92a-4d2c-9db2-d34d5307ba17,Q - Human health and social work activities,44.0,STEINFURT,bauhaus germany
edicos consulting & software gmbh & co kg,edicos group,100.0,edicos,edicos,11444289,59d63d4d-711c-4363-b86b-25939157bfb1,J - Information and communication,41.0,HANNOVER,edicosgroup
beat gmbh,digital beat gmbh,100.0,beat,beat,114985311,59dc988b-b1ff-4e91-a147-7d81c45d80c3,"M - Professional, scientific and technical activities",50.0,BREMEN,digitalbeat gmbh
ihk digital gmbh,ihk frankfurt am main,100.0,ihk,ihk,482949967,59df0dfd-7837-4e2f-ba38-a1d09f6699f2,"M - Professional, scientific and technical activities",75.0,BERLIN,ihk frankfurt am main
ewd bau gmbh,ewd gmbh,100.0,ewd,ewd,161275450,5a0270a6-96e4-4044-b36a-e86d7b424baf,F - Construction,93.0,LAMSTEDT,ewd gmbh
abb ag,abb deutschland,100.0,abb,abb,2688550,5a066af6-af8a-4d25-b0f6-fdb36b448cf9,"M - Professional, scientific and technical activities",7336.0,MANNHEIM,abb germany
arbeiterwohlfahrt bezirksverband weserems ev,awo bezirksverband weserems ev,100.0,bezirksverband weserems,bezirksverband weserems,48998384,5a2774e7-c5dc-4665-a455-f2898bbaac6b,Q - Human health and social work activities,280.0,OLDENBURG,awo district association weserems ev
hubert wax gmbh & co kg,wax in the city gmbh,100.0,wax,wax,2712528,5a29e148-fd0e-4fd2-8504-c71f2f824db9,"E - Water supply; sewerage, waste management and remediation activities",31.0,SAARLOUIS,wax in the city gmbh
sauer walzenfabriken gmbh & co kg,sauer walzenfabriken,100.0,saur walzenfabriken,saur walzenfabriken,2345533,5a3d646e-6c8d-4de4-930f-1837a75b038f,C - Manufacturing,87.0,HEMMINGEN,sauer roller factories
bfs gmbh,bfs health finance gmbh,100.0,bfs,bfs,41132447,5a45815d-8080-4014-813f-f9d6b52cc8b3,S - Other service activities,32.0,VECHTA,bfs health finance gmbh
sema maschinenbau gmbh,sema ag,100.0,sema,sema,2826181,5aa4b83f-478b-49f8-9af0-683b008193ff,C - Manufacturing,57.0,ZIEMETSHAUSEN,sema ag
tally weijl holding gmbh,tally weijl deutschland,100.0,tally weijl,tally weijl,2658983,5aa9adbc-0b0e-4630-8380-0359a6479014,K - Financial and insurance activities,801.0,LOERRACH,tally weijl germany
distrelec deutschland gmbh,distrelec gmbh,100.0,distrelec,distrelec,464690373,5ab21089-eeea-4250-8470-afe4c45df86d,C - Manufacturing,31.0,BREMEN,distrelec gmbh
dtv verlagsgesellschaft mbh & co kg,dtv verlagsgesellschaft mbh,100.0,dtv,dtv,2776366,5acba3d7-6429-4254-91f3-443aa5f3f8ac,J - Information and communication,144.0,MUENCHEN,dtv publishing company mbh
liveperson germany gmbh,liveperson,100.0,liveperson,liveperson,192520412,5ad01e3e-e205-432b-bc34-8f82a9b4c42d,J - Information and communication,68.0,MANNHEIM,liveperson
zoo duisburg ggmbh,hotel zoo berlin,100.0,zoo,zoo,2539862,5ae17083-cf2c-4133-a977-b7486af1b61f,"R - Arts, entertainment and recreation",122.0,DUISBURG,hotel berlin-zoo
pilot group gmbh & co kg,pilot group,100.0,pilot,pilot,47559561,5ae2d76c-d0db-4702-85ad-9a8849febd1f,K - Financial and insurance activities,382.0,HAMBURG,pilotgroup
b widmann beteiligungen gmbh & co kg,widmann gmbh gesellschaft fr personaldienstleistungen,100.0,widmann,widmann,7704956,5af6bbed-7465-449d-a3fd-52009fa6c98b,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,903.0,AALEN,widmann gmbh company for personnel services
perfact innovation gmbh & co kg,perfact holding gmbh,100.0,perfact,perfact,192524145,5b0a35fd-e70e-4e35-b476-e0310b975c34,J - Information and communication,31.0,HERFORD,perfact holding gmbh
kinderschutz ev,kinderschutz mnchen,100.0,kinderschutz,kinderschutz,193026800,5b146a64-282e-4501-861a-32ac05a30c14,S - Other service activities,550.0,MUENCHEN,child protection munich
hans keim kunststoffe gesellschaft mit beschraenkter haftung,bckerei keim,100.0,keim,keim,2723932,5b20314a-a5b7-40fa-810e-ff2aa6c50182,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,55.0,ZIMMERN,bakery germ
amk personalservice gmbh,amk group,100.0,amk,amk,376831142,5b265263-e9e0-44d5-b6a8-79cada00a91a,N - Administrative and support service activities,80.0,MANNHEIM,amkgroup
jade intensivpflege gmbh,jade hochschule,100.0,jade,jade,255148276,5b2f7723-8f9c-4171-af70-f3e2d37ed13a,Q - Human health and social work activities,70.0,MUELHEIM,jade college
save the children deutschland ev,save the children,100.0,save children,save children,192067903,5b48c740-fd12-41b2-83ad-18044dc2bb7d,S - Other service activities,133.0,BERLIN,save the children
itw automotive products gmbh,itw,100.0,itw,itw,79313852,5b5f96ac-42a1-4fb6-afe1-40b3f6da509c,C - Manufacturing,300.0,HODENHAGEN,itw
imma gmbh,imma immobilien management gmbh,100.0,imma,imma,288510542,5b680e4c-7357-422d-8d31-da37d5ef8230,Q - Human health and social work activities,37.0,BERLIN,imma real estate management gmbh
ntv nutzfahrzeugteile oesterhaus gmbh & co kg,ntv nutzfahrzeugteile oesterhaus kg,100.0,ntv nutzfahrzeugteile osterhaus,ntv nutzfahrzeugteile osterhaus,12067229,5b80a1f2-481e-4082-990a-346e9dcd2b98,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,75.0,BIELEFELD,ntv commercial vehicle parts oesterhaus kg
stadtwerke wilhelmshaven gmbh,stadt wilhelmshaven,100.0,wilhelmshaven,wilhelmshaven,2382490,5b99ac53-c97b-4f5c-b964-578749c31dcd,"R - Arts, entertainment and recreation",371.0,WILHELMSHAVEN,city of wilhelmshaven
planorg health services gmbh,planorg informatik gmbh,100.0,planorg,planorg,493297868,5b9b6bb8-c44d-40a2-b4f4-16e762674d0e,J - Information and communication,37.0,JENA,planorg informatics gmbh
imw industriemontagen wagner gmbh & co kg,imw service gmbh,100.0,imw,imw,68860154,5bad3ca2-0bb4-4734-9882-7cafc5824bfb,F - Construction,37.0,HEEG,imw service gmbh
rau bau gmbh & co kg,g rau,100.0,rau,rau,151945233,5bbde90c-de68-44f6-a214-635d5c2bdbd3,F - Construction,44.0,EBHAUSEN,g rough
fokus transporte gmbh,fokus digital gmbh,100.0,fokus,fokus,417510261,5bcdcbaa-0a64-46c7-89c4-5423967d4057,H - Transportation and storage,57.0,UMKIRCH,focus digital gmbh
vitas pflegedienste gmbh,vitas gmbh,100.0,vitas,vitas,136051269,5bf07dd6-442b-4130-bf26-c91bf1e56a4e,Q - Human health and social work activities,35.0,HEIDELBERG,vitas gmbh
gch hotels consulting gmbh,gch hotel group,100.0,gch,gch,263106111,5bf676ac-6250-489d-a56c-86f22621c223,"M - Professional, scientific and technical activities",136.0,BERLIN,gch hotel group
smart press shop gmbh & co kg,press factory gmbh,100.0,pres,pres,404572417,5bf8828e-d6d4-4789-9928-af4973b9e8ea,C - Manufacturing,54.0,HALLE,press factory gmbh
obo bettermann projekt und systemtechnik gmbh,obo bettermann group,100.0,obo bettermann,obo bettermann,2485976,5bfa918b-0bc3-4f20-b5f7-92be1ce3af1b,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,61.0,MENDEN,obo bettermann group
baumann creative gmbh,the creative club,100.0,creative,creative,2743035,5c05136d-f0f1-4573-ae2d-64fdba6207ee,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,34.0,WESTHAUSEN,the creative club
edelrid gmbh & co kg,edelrid,100.0,edelrid,edelrid,2804892,5c0aac1c-53ba-4ac2-af69-c9a94a20ffa1,C - Manufacturing,178.0,ISNY,edelrid
ake knebel gmbh co kg,ake knebel gmbh & co kg,100.0,ake knebel,ake knebel,2706015,5c1abd3d-40cc-4203-a909-95bbb0a80ab4,C - Manufacturing,300.0,BALINGEN,ake knebel gmbh &amp; co kg
bernhard assekuranzmakler gmbh,aktiv assekuranzmakler gmbh,100.0,asekuranzmakler,asekuranzmakler,2841777,5c359ec1-ff5f-4330-acb4-165453a7a883,K - Financial and insurance activities,47.0,SAUERLACH,active insurance broker gmbh
act global gmbh,act unternehmensgruppe,100.0,act,act,492676996,5c3a2227-510c-4719-a381-a1cbe9b02050,K - Financial and insurance activities,64.0,HAMBURG,act group of companies
jw zander gmbh & co kg nordwest,fischer jw zander gmbh & co kg,100.0,jw zander,jw zander,530294476,5c429a6d-8e05-4748-ade1-f26549f8ddfc,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,60.0,OSNABRUECK,fischer jw zander gmbh &amp; co kg
bitkom servicegesellschaft mit beschraenkter haftung,bitkom ev,100.0,bitkom,bitkom,2287135,5c4db518-5a4f-42bf-a5dc-596026cde534,S - Other service activities,49.0,BERLIN,bitkom ev
f&m retail gmbh,f&m computer systemhaus gmbh,100.0,fundm,fundm,11458404,5c59c005-f82e-4074-94ad-9cd3a4853563,"M - Professional, scientific and technical activities",48.0,KOELN,f&amp;m computer system house gmbh
dr baus gmbh industrietechnik,baues partner,100.0,baus,baus,2648952,5c5b7679-c765-4687-89dd-3d80eb8cf2b2,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,38.0,VIERNHEIM,building partner
clarios germany gmbh & co kg,clarios,100.0,clarios,clarios,2346580,5c711423-0690-42c2-95d0-c592d0ad5fee,C - Manufacturing,397.0,HANNOVER,clarios
otto quast gmbh & co kg,otto quast bau aktiengesellschaft,100.0,quast,quast,2511275,5c748ec9-972a-4c50-9152-261aee9447bf,N - Administrative and support service activities,37.0,SIEGEN,otto quast construction limited company
kaeser kompressoren dienstleistung gmbh,kaeser kompressoren,100.0,kaser kompresoren,kaser kompresoren,158746463,5c78fa9c-f282-4619-ac0c-93a045968488,N - Administrative and support service activities,191.0,COBURG,kaeser compressors
flabeg automotive glass group gmbh,flabeg automotive group,100.0,flabeg,flabeg,483002306,5c840455-de7f-4df1-9964-2f0e15f4efd3,N - Administrative and support service activities,1072.0,NUERNBERG,flabeg automotive group
momox holding se,momox gmbh leipzig,100.0,momox,momox,461480425,5c87851a-c992-45ff-b7eb-ccc5765fd713,K - Financial and insurance activities,2232.0,BERLIN,momox gmbh leipzig
hasse transport gmbh,c hasse & sohn,100.0,hase,hase,2400165,5c96f68b-9397-4bc5-a8cc-61aad7e9bde1,H - Transportation and storage,104.0,RADEBEUL,c hasse &amp; son
justrelate deutschland gmbh,justrelate group,100.0,justrelate,justrelate,475427792,5c9a7740-15fc-4b5b-aa0d-a0a2148c8073,J - Information and communication,55.0,BERLIN,justrelategroup
sozialteam management und holding gmbh,sozialteam,100.0,sozialteam,sozialteam,2812629,5cae60a1-1455-4ae5-876d-09fada17507f,"M - Professional, scientific and technical activities",31.0,LAPPERSDORF,social team
vr bank bad salzungen schmalkalden eg,vrbank bad salzungen schmalkalden eg,100.0,salzungen schmalkalden,salzungen schmalkalden,53478626,5cb6c250-506f-44c2-9616-8dc4d8b35cfe,K - Financial and insurance activities,270.0,BAD SALZUNGEN,vrbank bad salzungen schmalkalden eg
idnow holding gmbh,idnow gmbh,100.0,idnow,idnow,175139232,5cbed285-859a-4928-bfa0-95daf6361068,J - Information and communication,192.0,MUENCHEN,idnow gmbh
gizeh verpackungen gmbh & co kg,gizeh verpackungen gmbh,100.0,gizeh,gizeh,2551396,5cd8e5c5-a3be-40e0-a5f9-5ffc7b5308f6,C - Manufacturing,303.0,BERGNEUSTADT,gizeh packaging gmbh
schalttechnik huber gmbh,schalttechnik nord gmbh,100.0,schalttechnik,schalttechnik,2780014,5ce06e0b-bd4d-48ac-8a8b-d5022ad056af,C - Manufacturing,57.0,MUENCHEN,switching technology north gmbh
resch & frisch gastro gmbh,resch & frisch gruppe deutschland,100.0,resch frisch,resch frisch,2822304,5ce10405-3269-482e-9388-b166d4218b50,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,172.0,FORSTINNING,resch &amp; frisch group germany
kortmann gmbh,kortmann beton gmbh & co kg,100.0,kortmann,kortmann,2392184,5d04ae2f-a333-497c-b887-cf15b44eb743,C - Manufacturing,62.0,SCHUETTORF,kortmann concrete gmbh &amp; co kg
van der valk deutschland gesellschaft mit beschraenkter haftung,van der valk,100.0,valk,valk,2569792,5d067937-9647-4876-b515-f428e9c7255c,"M - Professional, scientific and technical activities",143.0,MOERS,van der valk
sanden international europe gmbh,sanden international ltd,100.0,sanden,sanden,392344680,5d0aaa16-dd55-4a16-b056-80930c8e982b,K - Financial and insurance activities,134.0,FRANKFURT,sanden international ltd
panasonic marketing europe gmbh,panasonic,100.0,panasonic,panasonic,7468192,5d21605b-8363-41fb-a24d-b623bb86659f,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1197.0,WIESBADEN,panasonic
sgp schneider geiwitz nord rechtsanwaltsgesellschaft mbh,sgp schneider geiwitz,100.0,sgp geiwitz,sgp geiwitz,416109644,5d38f0ee-211a-4cb9-91ca-891ab3c8b83a,"M - Professional, scientific and technical activities",41.0,HAMBURG,sgp schneider geiwitz
raiffeisenbank im kreis calw eg,raiffeisenbank im kreis calw,100.0,calw,calw,53482079,5d408fc4-6477-49a3-a4f2-fc350fa24630,K - Financial and insurance activities,114.0,NEUBULACH,raiffeisenbank in the calw district
lbi holding gmbh,lbi germany ag,100.0,lbi,lbi,2551735,5d5853d8-44df-4843-9b4e-8bd5bb7ca0e8,"M - Professional, scientific and technical activities",1227.0,GUMMERSBACH,lbi germany ag
dsg deutsche seniorenstift gmbh & co kg,dsg deutsche seniorenstift gesellschaft mbh & cokg,100.0,dsg seniorenstift,dsg seniorenstift,31660627,5d62f1de-2f32-46cc-83fb-2b45edda9582,Q - Human health and social work activities,2131.0,HANNOVER,dsg german senior citizens foundation company mbh &amp; cokg
avantgarde management gmbh,avantgarde gesellschaft fr kommunikation mbh,100.0,avantgarde,avantgarde,417523955,5d7f46d0-3c4d-483c-8b2e-05c52d38c7fc,N - Administrative and support service activities,68.0,MUENCHEN,avantgarde company for communication mbh
panorama hotelbetriebs gmbh,panorama catering,100.0,panorama,panorama,416133475,5d9d3d44-70d4-4b4c-8864-76c9912f548f,I - Accommodation and food service activities,47.0,RUECKHOLZ,panorama catering
vista electronic gmbh,it vista personalberatung gmbh,100.0,vista,vista,2426996,5d9eda8b-e24b-49b0-9705-0f6842a50677,"E - Water supply; sewerage, waste management and remediation activities",36.0,SONNEBERG,it vista personnel consulting gmbh
the sr group germany gmbh,sr travel gmbh,100.0,sr,sr,156904354,5dcbbccf-d84c-4a75-acfe-bd1bf7243e11,"M - Professional, scientific and technical activities",31.0,DUESSELDORF,sr travel gmbh
nies transport und logistik gmbh,nies electronic gmbh,100.0,nies,nies,199011668,5df70564-8429-4ba3-8d0d-647d47718730,H - Transportation and storage,53.0,MUENSTER,nies electronic gmbh
nihon kohden europe gesellschaft mit beschraenkter haftung,nihon kohden europe gesellschaft mit beschrnkter haftung,100.0,nihon kohden,nihon kohden,2650532,5e037bef-9712-4c4a-8f07-032d0411bb6f,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,99.0,ROSBACH,nihon kohden europe limited liability company
klinik sankt elisabeth gmbh,sozialwerk sankt georg,100.0,sankt,sankt,12073747,5e4de0ab-edc3-4207-baab-15401e7c3268,Q - Human health and social work activities,172.0,HEIDELBERG,social work saint georg
westpfalzklinikum pflege gmbh,westpfalzklinikum seniorenresidenz,100.0,westpfalzklinikum,westpfalzklinikum,18513020,5e9fc7ec-838a-43f5-9fe5-bd081af8554d,Q - Human health and social work activities,110.0,KAISERSLAUTERN,westpfalzklinikum senior residence
phaidon international deutschland gmbh,phaidon international,100.0,phaidon,phaidon,486229658,5eac1ebe-5c5d-411e-ad24-fd3816651971,N - Administrative and support service activities,33.0,BERLIJN,phaidon international
sparkasse der stadt wilhelmshaven,sparkasse wilhelmshaven,100.0,sparkase wilhelmshaven,sparkase wilhelmshaven,754710,5eb451ff-7044-4617-9f89-121ec043798e,K - Financial and insurance activities,170.0,WILHELMSHAVEN,savings bank wilhelmshaven
ocs solar system gmbh,ocs kommunikation sicherheit it,100.0,ocs,ocs,129482944,5edfe694-7fe2-4ab1-be0c-5a25fbd7ff10,F - Construction,43.0,OSTERNIENBURGER LAND,ocs communication security it
ebz se,ebz gruppe,100.0,ebz,ebz,108688290,5ee696d9-f055-40cc-a710-40f6308f3ce5,"M - Professional, scientific and technical activities",1378.0,RAVENSBURG,ebz group
palo alto networks germany gmbh,palo alto networks,100.0,palo alto,palo alto,137513803,5f0b9017-94e8-4472-b6e3-b3f475c2806e,"M - Professional, scientific and technical activities",157.0,MUENCHEN,palo alto networks
josef bernbacher & sohn gmbh co kg,josef bernbacher & sohn gmbh & co kg,100.0,bernbacher,bernbacher,2773857,5f266ae5-7c35-4fc2-9357-13ed02965607,C - Manufacturing,120.0,HOHENBRUNN,josef bernbacher &amp; son gmbh &amp; co kg
brandt mobile gmbh & co kg,brandt kommunikationstechnik gmbh,100.0,brandt,brandt,7575531,5f3b4243-a6f6-434c-80a1-27e66634bf4b,N - Administrative and support service activities,173.0,WEYHE,brandt communications technology gmbh
tip berlin media group gmbh,tip personaldienstleistungen gmbh,100.0,tip,tip,161272471,5f515002-1461-4dc3-99bf-87ebfb3817ae,J - Information and communication,50.0,BERLIN,tip personal services gmbh
friedhelm loh stiftung & co kg,friedhelm loh group,100.0,friedhelm loh,friedhelm loh,2624095,5f6a5f76-4e04-4d35-b13d-a55077aad688,"M - Professional, scientific and technical activities",10374.0,HAIGER,friedhelm loh group
apollo dienstleistungen gmbh,apollo,100.0,apollo,apollo,482953739,5f6f17c5-cb48-49e5-a4ab-7f1d15baea58,H - Transportation and storage,91.0,BREMEN,Apollo
stadtwerke freiberg aktiengesellschaft,awo freiberg,100.0,freiberg,freiberg,2393844,5f7f4a04-c4e8-49b7-9ae8-227684f4a9c7,"D - Electricity, gas, steam and air conditioning supply",74.0,FREIBERG,awo freiberg
die hauscompagnie gmbh,hauscompagnie gmbh,100.0,hauscompagnie,hauscompagnie,113614411,5f8d5d12-5b0d-4eda-a453-8763e1f70eca,L - Real estate activities,49.0,HARRISLEE,hauscompagnie gmbh
funkwerk ag,funkwerk unternehmensgruppe,100.0,funkwerk,funkwerk,7103884,5f930a95-5ba3-4a20-aa51-afde4aee8e9c,J - Information and communication,509.0,KOELLEDA,funkwerk group of companies
wessling holding gmbh & co kg,wessling gruppe,100.0,wesling,wesling,2495907,5f96b4c0-97d3-45a3-a5ea-f666126f52bc,"M - Professional, scientific and technical activities",1726.0,ALTENBERGE,wessling group
senioren palace gmbh & co kg,hotel palace berlin,100.0,palace,palace,31688836,5fa3fc0f-58b6-42b5-b9e3-ec05ac04405a,Q - Human health and social work activities,162.0,KOBLENZ,hotel palace berlin
mubea aviation holding gmbh,mubea unternehmensgruppe,100.0,mubea,mubea,2517540,5fa6c09c-c10c-4066-8eef-c365c831f585,K - Financial and insurance activities,472.0,ATTENDORN,mubea group of companies
ariarmaturen albert richter gmbh & co kg,ariarmaturen gmbh & co kg,100.0,ariarmaturen,ariarmaturen,2453475,5fa7af3f-3c14-4b24-a3f4-6f55f4e000a6,C - Manufacturing,915.0,SCHLOSS HOLTE-STUKENBROCK,ariarmaturen gmbh &amp; co kg
kurita europe gmbh,kurita,100.0,kurita,kurita,196350681,5fae35ac-511f-4966-9666-e6c9f7dd7d8b,"M - Professional, scientific and technical activities",232.0,MANNHEIM,kurita
hamburger sparkasse ag,sparkasse aachen,100.0,sparkase,sparkase,177834620,5fd40cba-25ed-4eff-aa02-bb277f32ca37,K - Financial and insurance activities,4673.0,HAMBURG 11,savings bank aachen
melitta group management gmbh & co kg,melitta unternehmensgruppe,100.0,melitta,melitta,2489259,5ff3c386-7155-43eb-aa20-f6bdd473e6bc,"M - Professional, scientific and technical activities",5904.0,MINDEN,melitta group of companies
coffee at work gmbh & co kg,coffee at work,100.0,coffee at,coffee at,12068733,60053a5c-3fac-4470-9343-95d3513a6143,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,86.0,WITTEN,coffee at work
quality services international gmbh,quality automation gmbh,100.0,quality,quality,2304440,6006fe19-1eeb-412a-91f4-91274a524541,"M - Professional, scientific and technical activities",133.0,BREMEN,quality automation gmbh
